Data	Codice articolo	Prezzo	Qta	Ref operazione
17/07/15	575086	29,95	1	0007/0104/980/6
17/07/15	575765	4,98	1	0007/0104/964/13/PR181412_2         0
17/07/15	575767	4,32	1	0011/0109/3836/3/PR181412_1         0
17/07/15	575770	4,97	1	0007/0104/964/24/PR181412_2         0
17/07/15	575776	4,31	1	0011/0109/3836/1/PR181412_1         0
17/07/15	575828	5,95	1	0007/0104/893/2
17/07/15	575828	5,95	1	0007/0104/923/1
17/07/15	575917	4,98	1	0011/0109/3809/2/PR264454_1         0
17/07/15	575918	4,97	1	0011/0109/3809/3/PR264454_1         0
17/07/15	576270	30,00	1	0006/0017/6347/1
17/07/15	576277	4,95	1	0011/0109/3884/1
